id;folio;fecha;subtotal;impuesto;total
1;Metal;2023-08-24;21987;6186;12753
2;Heredado Violeta Zapatos;2023-08-24;23159;2145;7320
3;Granito proyecto conjunto;2023-08-24;6646;31491;5608
4;Datos Heredado En;2023-08-24;5971;6762;25966
5;solución monitorizar;2023-08-24;15535;13857;7897
6;Granito cara;2023-08-24;2820;27262;9835
7;Genérico Increible;2023-08-24;14654;31725;14297
8;Verde proyecto enfoque;2023-08-23;11998;29237;25514
9;Teresa;2023-08-24;26149;27062;11041
10;Blanco;2023-08-24;31398;5623;13667
